year,price_aggregate,price_ne,price_mw,price_s,price_w,China,Mexico,Canada,Japan,Germany,Chile,Finland,Indonesia,United Kingdom,Brazil,United States,Global
1990,122900,159000,107900,99000,147500,1571406,705917,3482729,249500,113000,152460.5,218753.3,1185450,27780,5888980,3024500,41282695
1991,120000,155900,110000,100000,141100,1591266,703706,3482258,249426,113054,153031.51,219323.61,1168185,27956,5851170.6,3025586,41210028
1992,121500,169000,115600,105500,130400,1611126,701496,3481787,249352,113108,153602.52,219893.92,1150920,28132,5813361.2,3026672,41137361
1993,126500,162600,125000,115000,135000,1630986,699286,3481316,249278,113162,154173.53,220464.23,1133655,28308,5775551.8,3027758,41064693
1994,130000,169000,132900,116900,140400,1650846,697075,3480845,249204,113216,154744.54,221034.54,1116390,28484,5737742.4,3028844,40992026
1995,133900,180000,134000,124500,141400,1670706,694865,3480375,249130,113270,155315.55,221604.85,1099125,28660,5699933,3029930,40919359
1996,140000,186000,138000,126200,153900,1690566,692655,3479904,249056,113324,155886.56,222175.16,1081860,28836,5662123.6,3031016,40846691
1997,146000,190000,149900,129600,160000,1710426,690444,3479433,248982,113378,156457.57,222745.47,1064595,29012,5624314.2,3032102,40774024
1998,152500,200000,157500,135800,163500,1730286,688234,3478962,248908,113432,157028.58,223315.78,1047330,29188,5586504.8,3033188,40701357
1999,161000,210500,164000,145900,173700,1750146,686024,3478491,248834,113486,157599.59,223886.09,1030065,29364,5548695.4,3034274,40628690
2000,169000,227400,169700,148000,196400,1770006,683814,3478020,248760,113540,158170.6,224456.4,1012800,29540,5510886,3035360,40556022
2001,175200,246400,172600,155400,213600,1793615,682375,3477540,248850,113595,159078.8,224252.76,1011179.2,29645,5471378.1,3040544,40510303
2002,187600,264300,178000,163400,238500,1817225,680937,3477060,248940,113650,159987,224049.12,1009558.4,29750,5431870.2,3045728,40464584
2003,195000,264500,184300,168100,260900,1840835,679499,3476580,249030,113705,160895.2,223845.48,1007937.6,29855,5392362.3,3050912,40418865
2004,221000,315800,205000,181100,283100,1864445,678061,3476101,249120,113760,161803.4,223641.84,1006316.8,29960,5352854.4,3056096,40373146
2005,240900,343800,216900,197300,332600,1888055,676623,3475621,249210,113815,162711.6,223438.2,1004696,30065,5313346.5,3061280,40327427
2006,246500,346000,213500,208200,337700,1911664,675185,3475141,249300,113870,163619.8,223234.56,1003075.2,30170,5273838.6,3066464,40293288
2007,247900,320200,208600,217700,330900,1935274,673747,3474661,249390,113925,164528,223030.92,1001454.4,30275,5234330.7,3071648,40259148
2008,232100,343600,198900,203700,294800,1958884,672309,3474182,249480,113980,165436.2,222827.28,999833.6,30380,5194822.8,3076832,40225009
2009,216700,302500,189200,194800,263700,1982494,670871,3473702,249570,114035,166344.4,222623.64,998212.8,30485,5155314.9,3082016,40190869
2010,221900,335500,197600,196000,259700,2006104,669433,3473222,249660,114090,167252.6,222420,996592,30590,5115807,3087200,40156730
